guild_id,guild_name,guild_tag,approved_at,avatar_url,embed_color,screenshot_channel_id,leaderboard_channel_id,star_1_emoji,star_2_emoji,star_3_emoji,enable_clear_stats,created_at,lb_msg_distance,lb_msg_time,lb_msg_score,lb_msg_guilds,guild_income,income
1406018906677706792,Mammoet Ferry Transport,[MFT],2026-01-23 03:15:59.245064+00,https://i.pinimg.com/736x/56/2f/08/562f081183ab138c4a7ca15eeab1ea7f.jpg,16646144,1461873786440912936,1461875311640580096,<:stara:1464126270349508681>,<:starb:1464126542438207538>,<:starc:1464126268453818555>,true,2026-01-23 03:15:59.245064+00,1464673000174518312,1464673001277489364,1464673002833711197,1464672998786335052,0.00,0.00
1408831708882534523,Apex Transporte,[Apex],2026-01-24 16:13:36.634299+00,https://i.pinimg.com/1200x/cc/fc/94/ccfc94cadd5ad090979f88a47d1512df.jpg,15344928,1409251976243445891,1464651599455457372,<:stara:1464126270349508681>,<:starb:1464126542438207538>,<:starc:1464126268453818555>,true,2026-01-24 16:13:36.634299+00,1464713983956357251,1464713989891162254,1464713994421141759,1464713997197771068,0.00,0.00
1448027116074434593,National Command,[NMC],2026-01-22 23:16:00.25956+00,https://i.pinimg.com/1200x/90/e9/8f/90e98f6dabb0adbe3d26e8676a0c127b.jpg,16753920,1460901549378375700,1464088696461590727,<:stara:1464126270349508681>,<:starb:1464126542438207538>,<:starc:1464126268453818555>,true,2026-01-23 01:44:10.700387+00,1464673015257239767,1464673016318394478,1464673016947671295,1464673014191755480,5206961.80,0.00
1461243004772810977,Euro-Trans Mobility Alliance,[ETMA],2026-01-23 01:58:37.209038+00,https://i.pinimg.com/1200x/bc/a1/ba/bca1ba06accf75ccdb0d2cffab0a032a.jpg,8900331,1461729698982920384,1461729964742152471,<:stara:1464126270349508681>,<:starb:1464126542438207538>,<:starc:1464126268453818555>,true,2026-01-23 01:58:37.209038+00,1464673030801461328,1464673032416268604,1464673033859108915,1464673028859494673,0.00,0.00
